--Country--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"15 Nov, 2021",640,266,41.56,87.19,0,0.34,0.09
"14 Nov, 2021",630,176,27.94,61.27,1.2,0.40,0.07
"13 Nov, 2021",344,148,43.02,91.28,4.77,0.27,0.04
"12 Nov, 2021",314,124,39.49,91.08,4.03,0.56,0.07
"11 Nov, 2021",386,155,40.16,83.68,11.69,0.19,0.03
"10 Nov, 2021",306,119,38.89,83.33,3.57,0.25,0.03
"
","
"
--Country--,--Device--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
China,Tablets,10,6,60.00,,0.00,0.00,0.00
China,Desktop,646,128,19.81,,0.78,0.00,0.00
China,Mobile,5127,2683,52.33,,2.94,0.48,1.29
"
","
"
"
","
"
